subarea_rank,site_name,site_type,admin2_name,admin1_name,population_near_site,flood_exposure_pct,chirps_near_site_mm,local_disaster_score,subarea_priority_score,is_top_location_proxy
1,Leheley,village,Wajir West,Wajir,11112.39453125,0.0032183771404785456,13.925206184387207,0.20095019676419243,100.0,1
2,Habswein,town,Wajir West,Wajir,118069.96875,0.005044668607620901,0.0,0.01875468921625603,99.16378225126037,0
3,Wagalla,town,Wajir West,Wajir,2862.104736328125,0.0028659525256161293,19.124969482421875,0.2702082756856689,34.63017354823912,0
4,Ganyure,village,Wajir West,Wajir,1869.671875,0.0005843342167089366,16.63584327697754,0.22794480987532192,19.082002966340067,0
5,Shanta-abaq,village,Wajir West,Wajir,1371.8670654296875,0.0008208618072422389,22.10523796081543,0.30305173823728787,18.61466979817232,0
6,Qara,village,Wajir West,Wajir,589.0609741210938,0.18828720564848542,0.0,0.7,18.46222474910755,0
7,Garse Ghoftu,village,Wajir West,Wajir,895.0958862304688,0.05054573168569124,16.966419219970703,0.4181739254952832,16.758784230123492,0
8,Kanjara,village,Wajir West,Wajir,937.2510986328125,0.02106500326470501,11.182975769042969,0.23008301334957856,9.653366416178587,0
9,Loll Kuta South,village,Wajir West,Wajir,1194.789306640625,0.0015801073035793956,8.837389945983887,0.12581054711314615,6.727705170571433,0
10,Lanqot,hamlet,Wajir West,Wajir,307.3224792480469,0.032911315254305275,16.189495086669922,0.3420700371031808,4.703864592681649,0
11,Giriftu,village,Wajir West,Wajir,23265.0,0.001088025575423498,0.0,0.004044979584105772,4.210374931487307,0
12,Fatumanu,hamlet,Wajir West,Wajir,246.86781311035156,0.0017110865187614952,18.201946258544922,0.2533880437454805,2.7973051234179733,0
13,Wachir,hamlet,Wajir West,Wajir,1401.2691650390625,0.010609434313618986,0.0,0.03944295627499016,2.4711373144993094,0
14,Barmil,village,Wajir West,Wajir,248.59571838378906,2.7826852160922618e-05,16.147397994995117,0.2192469608744711,2.4368175247839976,0
15,Adan Awale,hamlet,Wajir West,Wajir,381.74481201171875,0.02335916906772291,0.0,0.08684296041831224,1.4805920721683359,0
16,Korish,hamlet,Wajir West,Wajir,374.7533874511719,0.010353286555360258,0.0,0.03849066942064142,0.6419092870567646,0
17,Noor Kilo,village,Wajir West,Wajir,67.06072235107422,0.057493187712366514,0.0,0.21374384552602388,0.6378477451757291,0
18,Well Athi,village,Wajir West,Wajir,72.50313568115234,0.0026996293674612787,10.999507904052734,0.15931568484932007,0.5132173733530153,0
19,Welhir,hamlet,Wajir West,Wajir,30.846059799194336,0.0,18.935962677001953,0.2569883578349423,0.35092920881493334,0
20,LMD,village,Wajir West,Wajir,1005.8382568359375,0.00196222899258081,0.0,0.0072950272434913884,0.3245308748478785,0
21,Bananey,hamlet,Wajir West,Wajir,670.8992309570312,0.0026021205489165917,0.0,0.009673967904341598,0.28658282167040444,0
22,Lagdima,village,Wajir West,Wajir,684.4036254882812,0.0022127238897984704,0.0,0.00822629831657597,0.2480620107372737,0
23,None,hamlet,Wajir West,Wajir,173.79214477539062,0.0003185072540367991,0.0,0.0011841222936942173,0.005140096400140814,0
24,Alamurgo,village,Wajir West,Wajir,586.614013671875,4.173360008266646e-05,0.0,0.00015515403692593658,0.0,0
